trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.003, 'e': 0.8842636625608209}",20,11,8.242295145253072,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.003, 'e': 0.8816148467834161}",20,0,-112.86812021367044,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.003, 'e': 0.8789739655455832}",20,0,-140.3823572337423,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
45,False,"{'a': 0.003, 'e': 0.8763409950793732}",25,0,-139.01764586760586,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
46,False,"{'a': 0.003, 'e': 0.8737159116880344}",30,0,-25.819241289228366,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.003, 'e': 0.8710986917457983}",30,0,-119.25907912222289,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.003, 'e': 0.8684893116976679}",25,0,-177.8025519237877,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
49,False,"{'a': 0.003, 'e': 0.865887748059205}",25,0,-76.040272491557,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.003, 'e': 0.8632939774163194}",20,0,-71.4349125852818,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.003, 'e': 0.8607079764250578}",20,5,-64.23955290860323,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.003, 'e': 0.8581297218113938}",20,0,-192.21571964798807,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
53,False,"{'a': 0.003, 'e': 0.8555591903710185}",30,0,-132.8608287131152,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
54,False,"{'a': 0.003, 'e': 0.8529963589691315}",20,0,-22.28032196402001,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.003, 'e': 0.850441204540233}",25,13,-52.85052230457572,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.003, 'e': 0.8478937040879159}",25,0,-150.2521166157553,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
57,False,"{'a': 0.003, 'e': 0.8453538346846587}",20,0,-217.7684690210045,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
58,False,"{'a': 0.003, 'e': 0.8428215734716199}",20,0,-119.15843117101126,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.003, 'e': 0.8402968976584314}",20,0,-145.5105342051875,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
60,False,"{'a': 0.003, 'e': 0.8377797845229938}",25,0,-115.4092590191555,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.003, 'e': 0.835270211411272}",20,0,-140.19359887015008,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
62,False,"{'a': 0.003, 'e': 0.832768155737091}",20,0,-38.90716931950408,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.003, 'e': 0.8302735949819326}",30,0,-149.3676001733051,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.003, 'e': 0.8277865066947336}",20,0,-64.5229410080304,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
65,False,"{'a': 0.003, 'e': 0.8253068684916823}",20,0,-66.2587634454105,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
66,False,"{'a': 0.003, 'e': 0.8228346580560184}",25,13,-25.388473233535812,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.003, 'e': 0.8203698531378311}",20,0,-39.99346410783478,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.003, 'e': 0.8179124315538594}",25,0,-64.1540800195167,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.003, 'e': 0.8154623711872927}",25,0,-106.14118055047553,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
70,False,"{'a': 0.003, 'e': 0.813019649987571}",25,0,-182.54683778009303,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
71,False,"{'a': 0.003, 'e': 0.8105842459701871}",25,3,-148.59063409889654,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 2}",1
72,False,"{'a': 0.003, 'e': 0.8081561372164884}",25,9,-92.437199885986,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
73,False,"{'a': 0.003, 'e': 0.8057353018734796}",25,0,-69.05854997255491,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
74,False,"{'a': 0.003, 'e': 0.8033217181536265}",20,0,-67.47151931350196,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.003, 'e': 0.8009153643346592}",30,0,-212.69533536829877,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
76,False,"{'a': 0.003, 'e': 0.7985162187593771}",20,0,-73.15505761352959,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.003, 'e': 0.7961242598354538}",25,0,-223.45862269438004,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
78,False,"{'a': 0.003, 'e': 0.7937394660352427}",25,0,-204.61005546721393,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
79,False,"{'a': 0.003, 'e': 0.7913618158955839}",20,0,-93.2069723157986,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
80,False,"{'a': 0.003, 'e': 0.7889912880176096}",20,0,-56.29167351067657,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.003, 'e': 0.7866278610665535}",25,0,-55.002166728114226,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",1
82,False,"{'a': 0.003, 'e': 0.7842715137715565}",30,0,-229.95263899429324,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
83,False,"{'a': 0.003, 'e': 0.7819222249254772}",25,7,-7.893671426714896,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.003, 'e': 0.7795799733847004}",20,12,7.296518071360527,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.003, 'e': 0.7772447380689461}",30,0,-133.8721302489387,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
86,False,"{'a': 0.003, 'e': 0.774916497961081}",20,3,-109.68404389846611,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
87,False,"{'a': 0.003, 'e': 0.772595232106928}",25,0,-114.84113037776186,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
88,False,"{'a': 0.003, 'e': 0.7702809196150792}",20,0,-9.295595497375608,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.003, 'e': 0.7679735396567061}",20,0,-103.28854682530898,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
90,False,"{'a': 0.003, 'e': 0.7656730714653739}",20,9,-91.7809766324907,"{0: 4, 1: 2, 2: 3, 3: 1, 4: 1}",1
91,False,"{'a': 0.003, 'e': 0.7633794943368531}",20,0,-76.58148368198941,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.003, 'e': 0.7610927876289343}",20,1,-125.25375233608845,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 2}",1
93,False,"{'a': 0.003, 'e': 0.7588129307612413}",25,0,-113.41535979960629,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
94,False,"{'a': 0.003, 'e': 0.7565399032150474}",20,0,-18.074830443643535,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.003, 'e': 0.754273684533089}",25,0,-127.34143373183193,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.003, 'e': 0.7520142543193826}",20,0,0.011576370646657619,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.003, 'e': 0.7497615922390413}",25,10,-64.25341489803478,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 0}",1
98,False,"{'a': 0.003, 'e': 0.747515678018091}",25,19,-1.387078308264912,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.003, 'e': 0.7452764914432887}",20,0,-98.46236245536582,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
100,False,"{'a': 0.003, 'e': 0.7430440123619398}",25,8,-65.02674600431115,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.003, 'e': 0.7408182206817179}",25,0,-160.2878354635405,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
102,False,"{'a': 0.003, 'e': 0.7385990963704826}",30,0,-69.52938607197714,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
103,False,"{'a': 0.003, 'e': 0.7363866194561001}",20,2,6.014037483653574,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.003, 'e': 0.7341807700262634}",25,0,-109.67901537278465,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
105,False,"{'a': 0.003, 'e': 0.7319815282283126}",20,0,-126.90420860067073,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
106,False,"{'a': 0.003, 'e': 0.7297888742690568}",20,0,-93.69539569995027,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.003, 'e': 0.7276027884145955}",25,8,-50.17580623518349,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.003, 'e': 0.7254232509901412}",25,19,-12.483130450444632,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.003, 'e': 0.7232502423798424}",35,0,-111.54711181902758,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
